image_id,real_class,pred_class,iou,score,precision,recall,TP/FP
27,2,2,0.8567786,0.999708,0.0,0.0,FP
77,2,2,0.89235425,0.99962664,0.0,0.0,FP
38,2,2,0.9202599,0.99961686,0.0,0.0,FP
50,2,2,0.0,0.9995433,0.0,0.0,FP
47,2,2,0.93772763,0.99953794,0.0,0.0,FP
30,2,2,0.86293334,0.999521,0.0,0.0,FP
74,2,2,0.80724883,0.99948514,0.0,0.0,FP
85,2,2,0.8444181,0.9994531,0.0,0.0,FP
50,2,2,0.9411121,0.9994442,0.0,0.0,FP
83,2,2,0.85972226,0.9994398,0.0,0.0,FP
45,2,2,0.89553255,0.99943274,0.0,0.0,FP
27,2,2,0.89217824,0.9994273,0.0,0.0,FP
5,2,2,0.77844906,0.9994204,0.0,0.0,FP
34,2,2,0.86051095,0.9994124,0.0,0.0,FP
71,2,2,0.9415921,0.9993789,0.0,0.0,FP
34,2,2,0.85579175,0.9993704,0.0,0.0,FP
41,2,2,0.93534815,0.99936765,0.0,0.0,FP
42,2,2,0.88702583,0.99936587,0.0,0.0,FP
68,2,2,0.8824263,0.99936515,0.0,0.0,FP
64,2,2,0.9244045,0.9993617,0.0,0.0,FP
54,2,2,0.87812066,0.9993512,0.0,0.0,FP
4,2,2,0.9567401,0.99934846,0.045454545454545456,0.16666663888889352,TP
40,2,2,0.884779,0.9993431,0.043478260869565216,0.16666663888889352,FP
25,2,2,0.88788307,0.9993383,0.041666666666666664,0.16666663888889352,FP
34,2,2,0.94293636,0.99933356,0.04,0.16666663888889352,FP
83,2,2,0.867778,0.9993311,0.038461538461538464,0.16666663888889352,FP
72,2,2,0.9571542,0.9993181,0.07407407407407407,0.33333327777778704,TP
72,2,2,0.9134274,0.9993179,0.07142857142857142,0.33333327777778704,FP
16,2,2,0.8402772,0.999302,0.06896551724137931,0.33333327777778704,FP
25,2,2,0.9037037,0.9992861,0.06666666666666667,0.33333327777778704,FP
19,2,2,0.90189713,0.9992787,0.06451612903225806,0.33333327777778704,FP
35,2,2,0.94391274,0.99926966,0.0625,0.33333327777778704,FP
26,2,2,0.9065592,0.99926203,0.06060606060606061,0.33333327777778704,FP
11,2,2,0.9224941,0.99925107,0.058823529411764705,0.33333327777778704,FP
