image_id,real_class,pred_class,iou,score,precision,recall,TPorFP
5,2,2,0.8261588,0.9992229,0.0,0.0,False
4,2,2,0.96184075,0.9991285,0.5,0.015384615147928998,True
77,2,2,0.90842605,0.9990938,0.6666666666666666,0.030769230295857996,True
47,2,2,0.9145504,0.99909127,0.75,0.04615384544378699,True
11,2,2,0.9336529,0.99904186,0.8,0.06153846059171599,True
50,2,2,0.0,0.9990243,0.6666666666666666,0.06153846059171599,False
11,2,2,0.8171883,0.9990125,0.5714285714285714,0.06153846059171599,False
72,2,2,0.93944246,0.9989827,0.625,0.07692307573964499,True
9,2,2,0.878784,0.9989077,0.5555555555555556,0.07692307573964499,False
27,2,2,0.8615933,0.99890006,0.5,0.07692307573964499,False
36,2,2,0.910852,0.99887246,0.5454545454545454,0.09230769088757398,True
74,2,2,0.8323318,0.9988411,0.5,0.09230769088757398,False
27,2,2,0.88812405,0.9988381,0.46153846153846156,0.09230769088757398,False
54,2,2,0.9039015,0.9988111,0.5,0.10769230603550299,True
85,2,2,0.8929562,0.9988018,0.4666666666666667,0.10769230603550299,False
50,2,2,0.96777153,0.99875915,0.5,0.12307692118343198,True
22,2,2,0.86966825,0.99875546,0.47058823529411764,0.12307692118343198,False
25,2,2,0.7914358,0.9987042,0.4444444444444444,0.12307692118343198,False
50,2,2,0.9407058,0.99870133,0.47368421052631576,0.138461536331361,True
34,2,2,0.67528975,0.9986965,0.45,0.138461536331361,False
45,2,2,0.9310019,0.99862087,0.47619047619047616,0.15384615147928998,True
67,2,2,0.8654763,0.9986105,0.45454545454545453,0.15384615147928998,False
64,2,2,0.9304243,0.9985964,0.4782608695652174,0.16923076662721898,True
38,2,2,0.91031927,0.99857736,0.5,0.18461538177514797,True
71,2,2,0.89030474,0.99854916,0.48,0.18461538177514797,False
26,2,2,0.92050546,0.9985416,0.5,0.199999996923077,True
42,2,2,0.9006404,0.99850994,0.5185185185185185,0.21538461207100598,True
40,2,2,0.8426641,0.99850637,0.5,0.21538461207100598,False
68,2,2,0.8987876,0.9984842,0.4827586206896552,0.21538461207100598,False
59,2,2,0.86230636,0.9984775,0.4666666666666667,0.21538461207100598,False
55,2,2,0.88423204,0.9984456,0.45161290322580644,0.21538461207100598,False
83,2,2,0.90895236,0.9983851,0.46875,0.23076922721893497,True
83,2,2,0.8188565,0.99838173,0.45454545454545453,0.23076922721893497,False
83,2,2,0.81182104,0.9983767,0.4411764705882353,0.23076922721893497,False
74,2,2,0.9273107,0.99837047,0.45714285714285713,0.24615384236686397,True
