image_id,real_class,pred_class,iou,score,precision,recall,TPorFP
5,2,2,0.8261588,0.9992229,1.0,0.003412969271628091,True
4,2,2,0.96184075,0.9991285,1.0,0.006825938543256182,True
77,2,2,0.90842605,0.9990938,1.0,0.010238907814884273,True
47,2,2,0.9145504,0.99909127,1.0,0.013651877086512365,True
11,2,2,0.9336529,0.99904186,1.0,0.017064846358140456,True
50,2,2,0.0,0.9990243,0.8333333333333334,0.017064846358140456,False
11,2,2,0.8171883,0.9990125,0.8571428571428571,0.020477815629768546,True
72,2,2,0.93944246,0.9989827,0.875,0.02389078490139664,True
9,2,2,0.878784,0.9989077,0.8888888888888888,0.02730375417302473,True
27,2,2,0.8615933,0.99890006,0.9,0.030716723444652823,True
36,2,2,0.910852,0.99887246,0.9090909090909091,0.03412969271628091,True
74,2,2,0.8323318,0.9988411,0.9166666666666666,0.037542661987909,True
27,2,2,0.88812405,0.9988381,0.9230769230769231,0.04095563125953709,True
54,2,2,0.9039015,0.9988111,0.9285714285714286,0.04436860053116519,True
85,2,2,0.8929562,0.9988018,0.9333333333333333,0.04778156980279328,True
50,2,2,0.96777153,0.99875915,0.9375,0.05119453907442137,True
22,2,2,0.86966825,0.99875546,0.9411764705882353,0.05460750834604946,True
25,2,2,0.7914358,0.9987042,0.9444444444444444,0.05802047761767755,True
50,2,2,0.9407058,0.99870133,0.9473684210526315,0.061433446889305646,True
34,2,2,0.67528975,0.9986965,0.95,0.06484641616093373,True
45,2,2,0.9310019,0.99862087,0.9523809523809523,0.06825938543256183,True
67,2,2,0.8654763,0.9986105,0.9545454545454546,0.07167235470418992,True
64,2,2,0.9304243,0.9985964,0.9565217391304348,0.075085323975818,True
38,2,2,0.91031927,0.99857736,0.9583333333333334,0.0784982932474461,True
71,2,2,0.89030474,0.99854916,0.96,0.08191126251907418,True
26,2,2,0.92050546,0.9985416,0.9615384615384616,0.08532423179070228,True
42,2,2,0.9006404,0.99850994,0.9629629629629629,0.08873720106233038,True
40,2,2,0.8426641,0.99850637,0.9642857142857143,0.09215017033395846,True
68,2,2,0.8987876,0.9984842,0.9655172413793104,0.09556313960558656,True
59,2,2,0.86230636,0.9984775,0.9666666666666667,0.09897610887721464,True
55,2,2,0.88423204,0.9984456,0.967741935483871,0.10238907814884274,True
83,2,2,0.90895236,0.9983851,0.96875,0.10580204742047083,True
83,2,2,0.8188565,0.99838173,0.9696969696969697,0.10921501669209892,True
83,2,2,0.81182104,0.9983767,0.9705882352941176,0.11262798596372701,True
74,2,2,0.9273107,0.99837047,0.9714285714285714,0.1160409552353551,True
77,2,2,0.86091566,0.99835265,0.9722222222222222,0.1194539245069832,True
11,2,2,0.86220145,0.99833965,0.972972972972973,0.12286689377861129,True
27,2,2,0.9004137,0.9983328,0.9736842105263158,0.1262798630502394,True
36,2,2,0.84132457,0.99829787,0.9743589743589743,0.12969283232186746,True
79,2,2,0.7965343,0.9982753,0.975,0.13310580159349555,True
79,2,2,0.86163586,0.9982753,0.975609756097561,0.13651877086512365,True
41,2,2,0.9279974,0.9982566,0.9761904761904762,0.13993174013675175,True
34,2,2,0.8519206,0.9982521,0.9767441860465116,0.14334470940837984,True
0,2,2,0.8170894,0.99821246,0.9772727272727273,0.1467576786800079,True
5,2,2,0.86263794,0.9982039,0.9777777777777777,0.150170647951636,True
7,2,2,0.9311913,0.99819535,0.9782608695652174,0.1535836172232641,True
20,2,2,0.8938685,0.9981828,0.9787234042553191,0.1569965864948922,True
20,2,2,0.9365071,0.99816716,0.9791666666666666,0.1604095557665203,True
34,2,2,0.8936533,0.9981135,0.9795918367346939,0.16382252503814837,True
13,2,2,0.95306545,0.9980742,0.98,0.16723549430977647,True
29,2,2,0.92643243,0.9980586,0.9803921568627451,0.17064846358140456,True
79,2,2,0.9156203,0.9980495,0.9807692307692307,0.17406143285303266,True
72,2,2,0.90135026,0.9980215,0.9811320754716981,0.17747440212466076,True
68,2,2,0.75155616,0.9980159,0.9814814814814815,0.18088737139628883,True
34,2,2,0.89274716,0.9980081,0.9818181818181818,0.18430034066791692,True
76,2,2,0.8899801,0.9980014,0.9821428571428571,0.18771330993954502,True
25,2,2,0.8665236,0.99799985,0.9824561403508771,0.19112627921117312,True
81,2,2,0.9477002,0.99799454,0.9827586206896551,0.1945392484828012,True
59,2,2,0.88928735,0.99799025,0.9830508474576272,0.19795221775442928,True
36,2,2,0.8809978,0.99798167,0.9833333333333333,0.20136518702605738,True
3,2,2,0.9160314,0.99795306,0.9836065573770492,0.20477815629768548,True
63,2,2,0.9203389,0.9979115,0.9838709677419355,0.20819112556931357,True
80,2,2,0.92879134,0.9979025,0.9841269841269841,0.21160409484094167,True
51,2,2,0.839041,0.9978759,0.984375,0.21501706411256974,True
13,2,2,0.8328602,0.99786747,0.9846153846153847,0.21843003338419784,True
21,2,2,0.8807942,0.99783844,0.9848484848484849,0.22184300265582593,True
29,2,2,0.9201671,0.9978331,0.9850746268656716,0.22525597192745403,True
30,2,2,0.84200716,0.9978161,0.9852941176470589,0.22866894119908213,True
36,2,2,0.84069127,0.9978097,0.9855072463768116,0.2320819104707102,True
12,2,2,0.8061177,0.99780923,0.9857142857142858,0.2354948797423383,True
84,2,2,0.82578206,0.99778134,0.9859154929577465,0.2389078490139664,True
52,2,2,0.9491849,0.9977701,0.9861111111111112,0.24232081828559449,True
34,2,2,0.9164365,0.9977442,0.9863013698630136,0.24573378755722258,True
25,2,2,0.90749884,0.9977343,0.9864864864864865,0.24914675682885065,True
36,2,2,0.85516375,0.997726,0.9866666666666667,0.2525597261004788,True
19,2,2,0.9319812,0.9977252,0.9868421052631579,0.2559726953721068,True
16,2,2,0.85500723,0.9977029,0.987012987012987,0.2593856646437349,True
27,2,2,0.8854151,0.9976956,0.9871794871794872,0.262798633915363,True
62,2,2,0.86498606,0.99769104,0.9873417721518988,0.2662116031869911,True
27,2,2,0.8804501,0.9976203,0.9875,0.2696245724586192,True
0,2,2,0.7565891,0.9976078,0.9876543209876543,0.2730375417302473,True
8,2,2,0.847065,0.9975751,0.9878048780487805,0.2764505110018754,True
35,2,2,0.92031693,0.99753475,0.9879518072289156,0.2798634802735035,True
27,2,2,0.8240442,0.9974866,0.9880952380952381,0.2832764495451316,True
80,2,2,0.7414169,0.99747986,0.9882352941176471,0.2866894188167597,True
80,2,2,0.9295921,0.9974413,0.9883720930232558,0.29010238808838773,True
2,2,2,0.8265403,0.99741507,0.9885057471264368,0.2935153573600158,True
29,2,2,0.87519324,0.99738437,0.9886363636363636,0.2969283266316439,True
17,2,2,0.7858518,0.9973578,0.9887640449438202,0.300341295903272,True
53,2,2,0.7846473,0.9973361,0.9888888888888889,0.3037542651749001,True
24,2,2,0.78576547,0.9973078,0.989010989010989,0.3071672344465282,True
29,2,2,0.8486032,0.99729306,0.9891304347826086,0.3105802037181563,True
79,2,2,0.82827246,0.9972785,0.989247311827957,0.3139931729897844,True
82,2,2,0.899031,0.99727315,0.9893617021276596,0.3174061422614125,True
69,2,2,0.8352343,0.99725395,0.9894736842105263,0.3208191115330406,True
27,2,2,0.8886908,0.9972416,0.9895833333333334,0.32423208080466864,True
85,2,2,0.88227075,0.99721044,0.9896907216494846,0.32764505007629674,True
83,2,2,0.9416332,0.9971433,0.9897959183673469,0.33105801934792484,True
13,2,2,0.7663085,0.9970933,0.98989898989899,0.33447098861955293,True
25,2,2,0.8572516,0.99709284,0.99,0.33788395789118103,True
25,2,2,0.8974804,0.9970515,0.9900990099009901,0.3412969271628091,True
42,2,2,0.9076022,0.9970477,0.9901960784313726,0.3447098964344372,True
56,2,2,0.88820106,0.99703974,0.9902912621359223,0.3481228657060653,True
79,2,2,0.64177567,0.99703825,0.9807692307692307,0.3481228657060653,False
17,2,2,0.8798626,0.99697864,0.9809523809523809,0.3515358349776934,True
17,2,2,0.88604504,0.9969784,0.9811320754716981,0.3549488042493215,True
56,2,2,0.757141,0.9969662,0.9813084112149533,0.35836177352094956,True
1,2,2,0.76744854,0.99695325,0.9814814814814815,0.36177474279257765,True
0,2,2,0.8214771,0.9969529,0.981651376146789,0.36518771206420575,True
27,2,2,0.8884474,0.9969222,0.9818181818181818,0.36860068133583385,True
20,2,2,0.772704,0.9968039,0.9819819819819819,0.37201365060746194,True
79,2,2,0.9077904,0.9967789,0.9821428571428571,0.37542661987909004,True
9,2,2,0.8494179,0.9967655,0.9823008849557522,0.37883958915071814,True
24,2,2,0.8285643,0.9967475,0.9824561403508771,0.38225255842234623,True
0,2,2,0.8531192,0.99673176,0.9826086956521739,0.38566552769397433,True
31,2,2,0.83556277,0.99672675,0.9827586206896551,0.3890784969656024,True
27,2,2,0.8699558,0.9966761,0.9829059829059829,0.39249146623723047,True
24,2,2,0.86732566,0.9966708,0.9830508474576272,0.39590443550885857,True
65,2,2,0.9178649,0.9966613,0.9831932773109243,0.39931740478048666,True
42,2,2,0.9362416,0.9966365,0.9833333333333333,0.40273037405211476,True
9,2,2,0.9028177,0.99661237,0.9834710743801653,0.40614334332374286,True
39,2,2,0.83430415,0.9966017,0.9836065573770492,0.40955631259537095,True
27,2,2,0.84381056,0.99659854,0.983739837398374,0.41296928186699905,True
65,2,2,0.8048658,0.99659735,0.9838709677419355,0.41638225113862715,True
45,2,2,0.9056792,0.99657357,0.984,0.41979522041025524,True
83,2,2,0.84186554,0.996573,0.9841269841269841,0.42320818968188334,True
29,2,2,0.93699646,0.9965379,0.984251968503937,0.4266211589535114,True
59,2,2,0.71899724,0.99653625,0.984375,0.4300341282251395,True
24,2,2,0.82742846,0.9965276,0.9844961240310077,0.4334470974967676,True
57,2,2,0.84187484,0.9965126,0.9846153846153847,0.43686006676839567,True
57,2,2,0.86894757,0.99649256,0.9847328244274809,0.44027303604002377,True
50,2,2,0.8676761,0.99649066,0.9848484848484849,0.44368600531165187,True
48,2,2,0.9092786,0.99647635,0.9849624060150376,0.44709897458327996,True
1,2,2,0.7594595,0.9964395,0.9850746268656716,0.45051194385490806,True
55,2,2,0.9239789,0.996414,0.9851851851851852,0.45392491312653616,True
85,2,2,0.85623044,0.9964134,0.9852941176470589,0.45733788239816425,True
8,2,2,0.8918093,0.9963588,0.9854014598540146,0.4607508516697923,True
17,2,2,0.8671793,0.9963329,0.9855072463768116,0.4641638209414204,True
65,2,2,0.83105725,0.9963223,0.9856115107913669,0.4675767902130485,True
0,2,2,0.8102551,0.9962656,0.9857142857142858,0.4709897594846766,True
74,2,2,0.9082984,0.99623835,0.9858156028368794,0.4744027287563047,True
12,2,2,0.9392252,0.9962047,0.9859154929577465,0.4778156980279328,True
25,2,2,0.94773906,0.9961875,0.986013986013986,0.4812286672995609,True
7,2,2,0.89024913,0.9961755,0.9861111111111112,0.48464163657118897,True
